wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,76081,15321994,229797,4018
SLEEP_TASK,1321,1780096,900001,18
DISPATCHER_QUEUE_SEMAPHORE,5,900310,120008,0
LOGMGR_QUEUE,50003,695934,143,456
PVS_PREALLOCATE,37691,393541,75121,587
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,6,360047,60014,2
XE_DISPATCHER_WAIT,6,360024,117782,0
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360021,60004,3
REQUEST_FOR_DEADLOCK_SEARCH,70,350435,5015,350435
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,87,348707,4015,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,689,348482,516,14
LAZYWRITER_SLEEP,350,348249,1016,8
DIRTY_PAGE_POLL,3216,348108,116,2
XE_TIMER_EVENT,104,345369,5014,345369
CHECKPOINT_QUEUE,79,338582,22916,1
SP_SERVER_DIAGNOSTICS_SLEEP,1,300011,300011,300011
BROKER_TO_FLUSH,169,173868,1040,0
BROKER_TASK_STOP,12,120069,10012,4
LCK_M_RS_U,10242,103094,171,140
QDS_ASYNC_QUEUE,2,75736,75294,0
LCK_M_IX,3839,21425,535,186
WRITELOG,29546,14334,263,350
PREEMPTIVE_OS_CRYPTOPS,168,4194,78,0
PREEMPTIVE_OS_WRITEFILEGATHER,1,529,529,0
PAGEIOLATCH_UP,41,160,91,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,174,95,3,0
PREEMPTIVE_XE_GETTARGETSTATE,13,52,27,0
SOS_SCHEDULER_YIELD,5438,21,0,19
PREEMPTIVE_OS_QUERYREGISTRY,227,16,4,0
MEMORY_ALLOCATION_EXT,17465,11,0,0
PREEMPTIVE_OS_DEVICEOPS,17,8,0,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,60,8,0,0
ASYNC_NETWORK_IO,274,6,0,2
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,56,4,0,0
PREEMPTIVE_OS_FILEOPS,3,2,2,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,57,1,0,0
PREEMPTIVE_OS_WRITEFILE,3,1,0,0
RESOURCE_QUEUE,0,0,0,0
LCK_M_RS_S,0,0,0,0
LCK_M_BU,0,0,0,0
LCK_M_UIX,0,0,0,0
LCK_M_SIX,0,0,0,0
LCK_M_SIU,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0

(50 rows affected)
