wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
LCK_M_RS_U,51081,163166707,7299,2293
THREADPOOL,119635,40116775,2680,4
SOS_WORK_DISPATCHER,65673,8550780,374443,9917
SLEEP_TASK,1323,934764,2013,20
PVS_PREALLOCATE,57733,798574,476469,792
LOGMGR_QUEUE,50080,736814,143,330
QDS_ASYNC_QUEUE,2,476889,476750,1
DISPATCHER_QUEUE_SEMAPHORE,6,374407,65547,1
DIRTY_PAGE_POLL,3383,368815,116,6
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,92,368705,4015,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,731,368645,516,29
LAZYWRITER_SLEEP,375,368390,1016,31
CHECKPOINT_QUEUE,80,368306,43693,2
XE_TIMER_EVENT,109,366285,5014,363423
REQUEST_FOR_DEADLOCK_SEARCH,73,365372,5014,365372
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360028,60011,0
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,6,360028,60010,4
XE_DISPATCHER_WAIT,8,311683,62046,0
SP_SERVER_DIAGNOSTICS_SLEEP,1,300012,300012,300012
BROKER_TO_FLUSH,179,184513,1040,6
BROKER_TASK_STOP,12,120061,10011,2
PREEMPTIVE_OS_CRYPTOPS,2499,62883,82,0
WRITELOG,31572,14549,36,317
PREEMPTIVE_OS_AUTHENTICATIONOPS,2511,1815,5,0
PREEMPTIVE_OS_WRITEFILEGATHER,2,1055,528,0
SOS_SCHEDULER_YIELD,42668,716,5,696
LATCH_EX,2,531,531,0
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,833,224,4,0
MEMORY_ALLOCATION_EXT,63643,152,0,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,835,37,4,0
PREEMPTIVE_OS_QUERYREGISTRY,1352,30,4,0
PREEMPTIVE_XE_GETTARGETSTATE,17,15,6,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,60,14,4,0
ASYNC_NETWORK_IO,461,10,0,3
PREEMPTIVE_OS_FILEOPS,6,5,2,0
PAGEIOLATCH_SH,5,3,0,0
PAGELATCH_SH,119,1,0,0
PREEMPTIVE_OS_WRITEFILE,4,1,0,0
RESOURCE_QUEUE,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0
PAGEIOLATCH_EX,1,0,0,0
PAGEIOLATCH_UP,2,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0

(50 rows affected)
