wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,64634,451335293,875628,10392
LCK_M_RS_U,51077,162768819,6568,2102
THREADPOOL,121747,40536967,2307,4
SLEEP_TASK,1244,1795866,900003,58
LOGMGR_QUEUE,49631,706590,143,332
PVS_PREALLOCATE,56833,542510,219693,766
CHECKPOINT_QUEUE,81,488957,165804,1
DISPATCHER_QUEUE_SEMAPHORE,6,371442,64635,0
XE_DISPATCHER_WAIT,8,360069,104316,0
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,6,360042,60010,4
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360021,60009,0
XE_TIMER_EVENT,106,355454,5014,355454
REQUEST_FOR_DEADLOCK_SEARCH,71,355366,5015,355366
LAZYWRITER_SLEEP,359,354251,1015,13
DIRTY_PAGE_POLL,3235,353693,116,4
HADR_FILESTREAM_IOMGR_IOCOMPLETION,701,353620,515,31
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,88,352644,4015,0
SP_SERVER_DIAGNOSTICS_SLEEP,721,300000,300000,300000
QDS_ASYNC_QUEUE,2,219325,219237,0
BROKER_TO_FLUSH,171,177155,1040,3
BROKER_TASK_STOP,12,120051,10013,2
PREEMPTIVE_OS_CRYPTOPS,2520,68249,85,0
WRITELOG,31395,14823,262,333
PREEMPTIVE_OS_AUTHENTICATIONOPS,2538,1801,5,0
PREEMPTIVE_OS_WRITEFILEGATHER,2,1059,530,0
PAGEIOLATCH_UP,118,557,264,1
SOS_SCHEDULER_YIELD,42969,556,12,538
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,840,205,4,0
MEMORY_ALLOCATION_EXT,56539,39,0,0
PREEMPTIVE_OS_QUERYREGISTRY,1353,33,4,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,843,30,4,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,55,28,4,0
PREEMPTIVE_XE_GETTARGETSTATE,26,23,5,0
PREEMPTIVE_OS_DEVICEOPS,17,11,1,0
PREEMPTIVE_OS_FILEOPS,6,5,2,0
ASYNC_NETWORK_IO,170,4,0,1
PREEMPTIVE_OS_REVERTTOSELF,3,2,2,0
PAGELATCH_SH,119,1,0,0
PREEMPTIVE_OS_WRITEFILE,4,1,0,0
RESOURCE_QUEUE,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,0,0,0,0
PAGELATCH_UP,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0

(50 rows affected)
